Date,Predicted_AQI,AQI_Category
2025-01-01,244.02,Poor
2025-01-02,251.31,Poor
2025-01-03,235.06,Poor
2025-01-04,249.55,Poor
2025-01-05,241.48,Poor
2025-01-06,238.83,Poor
2025-01-07,248.26,Poor
2025-01-08,246.44,Poor
2025-01-09,249.52,Poor
2025-01-10,259.47,Poor
2025-01-11,245.06,Poor
2025-01-12,251.08,Poor
2025-01-13,251.13,Poor
2025-01-14,246.68,Poor
2025-01-15,220.8,Poor
2025-01-16,238.72,Poor
2025-01-17,240.81,Poor
2025-01-18,239.7,Poor
2025-01-19,230.36,Poor
2025-01-20,251.4,Poor
2025-01-21,250.66,Poor
2025-01-22,249.94,Poor
2025-01-23,245.63,Poor
2025-01-24,237.17,Poor
2025-01-25,243.23,Poor
2025-01-26,242.1,Poor
2025-01-27,272.81,Poor
2025-01-28,263.38,Poor
2025-01-29,270.39,Poor
2025-01-30,267.53,Poor
